REC_ID,REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
74776,1,投诉,5,市容环卫,美丽深圳,1,1,609,坪山区,10007,104,0,1,8484,坪山街道,2018/7/11 9:22,102,0,未经批准设置广告牌,2,-,六联社区,坪山街道综合执法队,宣传广告违法行为,180
74782,1,投诉,5,市容环卫,美丽深圳,1,1,611,坪山区,10007,104,0,1,8484,坪山街道,2018/7/11 9:32,102,0,悬挂横幅标语、,2,-,六联社区,坪山街道综合执法队,宣传广告违法行为,180
74791,1,投诉,11,教育卫生,政府信箱,1,1,1028,坪山区,10008,103,0,1,1500,石井街道,2018/7/11 9:41,104,0,学历学位学籍管理,2,-,田头社区,教育局,教育行政管理,1024
74807,1,投诉,5,市容环卫,美丽深圳,1,1,590,坪山区,10013,101,0,1,1583,龙田街道,2018/7/11 9:57,102,0,公共绿地养护,2,-,竹坑社区,城市管理局,绿化养护,176
74808,1,投诉,6,市政设施,美丽深圳,1,0,630,坪山区,10007,104,1,1,1932,坪山街道,2018/7/11 9:57,102,0,下水井盖,2,-,六联社区,坪山供电局,公用部件,185
74814,1,投诉,8,劳动社保,@坪山,1,1,211,坪山区,10010,100,0,1,1529,碧岭街道,2018/7/11 10:00,103,0,经营者欠薪后逃逸、隐匿，或因欠薪被劳动者投诉,2,-,沙湖社区,人力资源局,劳动就业,34
74815,1,投诉,11,教育卫生,固话投诉,1,1,1028,坪山区,10007,104,0,1,1500,坪山街道,2018/7/11 10:02,106,0,学历学位学籍管理,2,-,六联社区,教育局,教育行政管理,1024
74818,1,投诉,5,市容环卫,固话投诉,1,1,808,坪山区,10007,104,0,1,1889,坪山街道,2018/7/11 10:06,106,0,施工占道,2,-,六联社区,坪山交通运输局,其他市容违法行为或影响市容事件,181
71000,1,投诉,5,市容环卫,@坪山,1,1,609,坪山区,10016,104,0,1,8484,坪山街道,2018/6/29 15:54,103,0,未经批准设置广告牌,2,-,和平社区,坪山街道综合执法队,宣传广告违法行为,180
71005,1,投诉,8,劳动社保,@坪山,1,1,240,坪山区,10013,101,0,1,1529,龙田街道,2018/6/29 15:58,103,0,劳动者的劳动报酬纠纷,2,-,竹坑社区,人力资源局,劳动社保,41
71007,1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10022,105,0,1,1889,坑梓街道,2018/6/29 16:00,103,0,道路破损,2,-,秀新社区,坪山交通运输局,市政、公共设施设置及维护,186
71008,1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10011,103,0,1,1889,石井街道,2018/6/29 16:02,103,0,道路破损,2,-,田心社区,坪山交通运输局,市政、公共设施设置及维护,186
71024,1,投诉,17,社区管理,@坪山,1,1,414,坪山区,10012,104,0,1,1889,坪山街道,2018/6/29 16:28,103,0,道路塌陷、盖板坍塌,2,-,六和社区,坪山交通运输局,住宅区（园区）或建筑物内安全、环卫问题,120
71028,1,投诉,5,市容环卫,美丽深圳,1,1,584,坪山区,10014,101,0,1,1801,龙田街道,2018/6/29 16:42,102,0,积存垃圾渣土,2,-,老坑社区,市政服务中心（龙田街道办事处）,渣土问题,173
71035,1,投诉,6,市政设施,固话投诉,1,1,644,坪山区,10010,100,0,1,1889,碧岭街道,2018/6/29 17:29,106,0,防撞柱,2,-,沙湖社区,坪山交通运输局,公用部件,185
71037,1,投诉,5,市容环卫,12319,1,1,602,坪山区,10019,105,0,1,1772,坑梓街道,2018/6/29 17:35,12,0,无照经营游商,2,-,金沙社区,城管办（坑梓街道办事处）,占道经营,178
71039,1,投诉,6,市政设施,@坪山,1,1,630,坪山区,10014,101,0,1,8516,龙田街道,2018/6/29 17:53,103,0,下水井盖,2,-,老坑社区,大工业区水务有限公司,公用部件,185
71040,1,投诉,7,交通运输,@坪山,1,1,681,坪山区,10007,104,0,1,1889,坪山街道,2018/6/29 18:05,103,0,公共交通管理,2,-,六联社区,坪山交通运输局,公共交通管理,193
71041,1,投诉,1,安全隐患,@坪山,1,1,234,坪山区,10022,105,0,1,1920,坑梓街道,2018/6/29 18:06,103,0,指示牌及红绿灯设置,2,-,秀新社区,市交警支队坪山大队,道路交通安全,27
71043,1,投诉,3,环保水务,12319,1,1,463,坪山区,10019,105,0,1,1605,坑梓街道,2018/6/29 18:16,12,0,施工噪音,2,-,金沙社区,规划土地监察大队,建筑施工噪声,133
71044,1,投诉,4,规土城建,12319,1,1,548,坪山区,10019,105,0,1,1605,坑梓街道,2018/6/29 18:24,12,0,违法在建建筑,2,-,金沙社区,规划土地监察大队,违法建筑与用地行为,158
71045,1,投诉,3,环保水务,@坪山,1,1,538,坪山区,10007,104,0,1,1536,坪山街道,2018/6/29 18:32,103,0,下水道堵塞或破损,2,-,六联社区,环境保护和水务局,供、排水及水质问题,152
67590,1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10004,102,0,1,8516,马峦街道,2018/6/19 15:52,102,0,下水井盖,2,-,坪环社区,大工业区水务有限公司,公用部件,185
67595,1,投诉,3,环保水务,@坪山,1,1,482,坪山区,10017,103,0,1,8535,石井街道,2018/6/19 16:08,103,0,饲养宠物家禽扰民,2,-,石井社区,石井办事处综合执法队,禽畜养殖污染,138
67600,1,投诉,6,市政设施,美丽深圳,1,0,630,坪山区,10014,101,1,1,8516,龙田街道,2018/6/19 16:27,102,0,下水井盖,2,-,老坑社区,大工业区水务有限公司,公用部件,185
67601,1,投诉,7,交通运输,政府信箱,1,1,674,坪山区,10022,105,0,1,8565,坑梓街道,2018/6/19 16:31,104,0,道路规划建设,2,-,秀新社区,坑梓自来水公司（坑梓辖区）,道路规划建设,189
67604,1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10022,105,0,1,1889,坑梓街道,2018/6/19 16:41,103,0,道路破损,2,-,秀新社区,坪山交通运输局,市政、公共设施设置及维护,186
67605,1,投诉,3,环保水务,12319,1,0,510,坪山区,10009,100,1,1,1862,碧岭街道,2018/6/19 16:42,12,0,社会投资建设工地施工扬尘,2,-,碧岭社区,碧岭社区,扬尘污染,142
67606,1,投诉,6,市政设施,@坪山,1,1,630,坪山区,10007,104,0,1,8516,坪山街道,2018/6/19 16:49,103,0,下水井盖,2,-,六联社区,大工业区水务有限公司,公用部件,185
67607,1,投诉,3,环保水务,@坪山,1,1,482,坪山区,10012,104,0,1,8484,坪山街道,2018/6/19 16:51,103,0,饲养宠物家禽扰民,2,-,六和社区,坪山街道综合执法队,禽畜养殖污染,138
67608,1,投诉,5,市容环卫,@坪山,1,0,600,坪山区,10007,104,1,1,1755,坪山街道,2018/6/19 16:51,103,0,废弃车辆,2,-,六联社区,六联社区,废弃物堆放,177
67609,1,投诉,6,市政设施,12319,1,1,625,坪山区,10019,105,0,1,1536,坑梓街道,2018/6/19 16:52,12,0,环卫设施不洁,2,-,金沙社区,环境保护和水务局,环卫设施设置及维护,182
67610,1,咨询,11,教育卫生,@坪山,1,0,1028,坪山区,10003,102,1,1,1500,马峦街道,2018/6/19 16:52,103,0,学历学位学籍管理,3,-,江岭社区,教育局,教育行政管理,1024
67611,1,投诉,5,市容环卫,@坪山,1,1,606,坪山区,10004,102,0,1,8532,马峦街道,2018/6/19 16:54,103,0,非机动车乱停放,2,-,坪环社区,马峦办事处综合执法队,车辆乱停放,179
67613,1,投诉,5,市容环卫,固话投诉,1,1,1162,坪山区,10006,102,0,1,8532,马峦街道,2018/6/19 16:55,106,0,综合执法,2,-,沙坣社区,马峦办事处综合执法队,市容城管,1159
